# maxrange N1 N2 finalcard time(s)
4289383 1922435 254641 2007306 0.005603 
14636915 11038098 14404715 14587551 0.053306 
19885386 19158840 19840455 19883261 0.056541 
9641421 3211736 691087 3701832 0.011422 
3368690 958429 102933 1019564 0.002668 
7513926 5159934 28596 5167789 0.011901 
4089172 3099040 2291835 3603205 0.021313 
1595368 1154855 768253 1336800 0.006307 
16465782 4800866 15270350 15486040 0.057210 
13665123 13414879 4088953 13492629 0.054285 
1513929 404292 29721 427105 0.000794 
15723058 1227023 9561049 9841011 0.033711 
19961393 13033584 9371828 16136518 0.074256 
16478042 10669373 5573173 12113198 0.069165 
19484421 5071661 4396733 8367699 0.035530 
16898537 10924424 13364032 15699438 0.076092 
9798315 614850 2760188 3177160 0.009820 
4803526 4476381 2425284 4618440 0.023842 
11759956 8364645 8447346 10740773 0.056303 
2999170 2178406 534631 2282829 0.008623 
11702305 1410635 6596759 7228963 0.024193 
7336327 426830 7323166 7323633 0.018751 
5750846 5132311 2249727 5274909 0.021716 
13925857 13621707 798753 13637767 0.034473 
19819582 19142345 16940614 19763475 0.078173 
8233367 1246276 5183900 5674050 0.021185 
14344043 79471 14078701 14079761 0.029371 
16426808 8789220 864258 9179119 0.028723 
9393584 3239035 2211515 4692266 0.025927 
12392754 12267427 9195522 12354265 0.055499 
4095060 2849036 1216368 3231748 0.015252 
3947739 2445034 2924602 3565578 0.019117 
9698586 4861608 6881753 8243840 0.047557 
16140795 11538310 6911264 13270592 0.077027 
15960378 13850285 8741997 15038484 0.071445 
16710097 8557567 10475654 13068929 0.069953 
3570492 2654428 3290228 3529521 0.014489 
19997301 5625056 2778266 7506764 0.030627 
13209441 6104175 9397142 11377906 0.068409 
4228444 2262379 1679352 3150186 0.013990 
10744729 229860 10654038 10655918 0.026899 
14738097 3524579 10762878 11628029 0.051239 
2890675 14734 2544652 2546264 0.005168 
11704567 7186042 2790828 8153484 0.035439 
4872353 806935 3379299 3629429 0.011633 
9455306 2009603 2559897 4107401 0.014774 
12805732 5950145 7043275 9713356 0.063640 
15530019 4956180 4831449 8140029 0.039259 
9959708 5867451 8746344 9515200 0.056124 
11518149 4939263 1746998 6179608 0.019963 
17142618 13718683 12981902 16352075 0.077366 
19493451 16220371 5832965 17444301 0.082664 
11192379 10894912 10806353 11180034 0.031746 
18888228 13100077 4363106 14491210 0.061543 
11165193 1476868 10205171 10285458 0.035799 
16087764 3289500 10535038 11412247 0.046198 
8936987 7201729 6321589 8559504 0.051294 
7346491 5037150 3648391 6090231 0.033901 
11151432 4400759 6507485 8024550 0.044310 
11899228 649003 11688531 11707773 0.031287 
19901474 14256727 16621690 18699013 0.086108 
10794395 8474999 6436507 9949068 0.054311 
5908235 3496213 5166998 5643452 0.029100 
5894428 3354459 808775 3632203 0.011475 
15335928 5671881 2296640 7019280 0.033421 
17322404 17177599 16244879 17311480 0.058739 
12114613 1768594 794829 2368994 0.008804 
2436840 957184 2076538 2210265 0.010015 
15235128 14676336 11106105 15090242 0.069783 
12067917 8148209 4663644 9877098 0.041839 
6043324 1435175 2133046 3055215 0.014476 
19512183 12006098 12930506 16838681 0.091689 
16689772 16674997 553852 16675608 0.034682 
12755590 1191115 911929 1979595 0.008099 
12502954 9671432 2429121 10133912 0.041238 
8338082 5233490 2686588 6202861 0.032056 
13110197 6939507 6588323 9779823 0.055508 
5228804 1125380 313427 1377092 0.003943 
10573622 912872 9307965 9454958 0.031571 
14887343 10686760 4964650 11585122 0.052612 
15354340 10983722 13825931 14751400 0.061227 
14613810 500415 10237471 10324493 0.026640 
5425661 400477 460577 819079 0.003480 
6811305 2629170 3614321 4535420 0.019417 
10079444 832534 2077498 2723630 0.010952 
10503465 5625863 6293236 8400612 0.053270 
3408282 757748 454676 1095882 0.004482 
4167637 2266201 1259048 2803443 0.014662 
18962600 18028036 5864452 18310251 0.087310 
13911899 12405681 8021994 13213380 0.067928 
5947468 753399 152281 890726 0.002230 
7487131 2532939 197799 2668548 0.005745 
16808933 5870708 744268 6182783 0.019086 
17370163 8977965 10559562 13846789 0.075929 
2548899 2500384 165261 2505667 0.007875 
12713773 10591341 9949178 12249536 0.059882 
5187190 1736085 4313286 4634586 0.021983 
17116466 9834950 12991652 15107692 0.074788 
18422090 9008234 701836 9361112 0.028072 
16855542 7856790 6924541 11300392 0.060825 
9517445 7655611 767404 7761552 0.019453 
17418418 2857061 11573940 12992794 0.049912 
5103348 2423716 4700559 4876051 0.023370 
9262009 6384824 2240922 6815297 0.030686 
15166342 10989989 10249850 13094546 0.062852 
15319301 15034489 1769041 15068873 0.041560 
10575321 6593551 755831 6854842 0.020321 
14044599 9332370 6896846 11194873 0.049097 
10955939 10271192 299944 10293192 0.023656 
16915667 16540351 8888214 16778776 0.096028 
6811127 4925861 6640727 6789626 0.032349 
15996658 4830760 11819302 13190436 0.059029 
11602422 9179051 3459122 9660194 0.042952 
19054081 6644633 5199274 10002993 0.056667 
17679292 9051976 15657232 16894786 0.089383 
10073850 4308625 3941685 6733139 0.035949 
6741222 678199 2023258 2493352 0.008267 
3606042 1122962 2797547 3087492 0.013472 
17352298 12936694 12346128 16097648 0.081449 
6942590 3993959 5849581 6458801 0.030706 
6288819 536794 1894548 2208287 0.007941 
6371155 3407184 5516029 5953546 0.034162 
2160379 812874 1310411 1610335 0.007500 
2981776 1514114 1741623 2351323 0.012193 
18721860 13155622 11966279 16335992 0.085317 
4445884 2181209 4176761 4312276 0.022558 
12867621 1137508 5025080 5591955 0.019969 
1690613 784723 624836 1121203 0.004750 
8031326 5672209 2752528 6644572 0.032294 
2828202 313324 1595426 1713824 0.004915 
2936784 2935141 210138 2935277 0.008222 
10390868 6408696 8940161 9671126 0.052280 
2608872 481716 2111550 2210586 0.008731 
17210498 16659610 15364028 17169829 0.063101 
3457753 1622183 2352669 2875831 0.012480 
9033333 1232182 6621695 6899834 0.022893 
1772890 245304 1594807 1626892 0.004115 
12251746 11159262 9018895 12009711 0.058978 
14514500 5259546 4704788 8289224 0.039401 
4549797 2700353 2471032 3760800 0.017348 
19273303 15405763 8554244 17152580 0.090172 
18012497 12535343 14145168 16804176 0.098111 
4247686 2995633 3369822 3997303 0.016196 
14613996 1440091 14563544 14568441 0.040662 
15649157 8981285 5435637 11048237 0.058643 
5032460 2494314 993261 2998519 0.012503 
17870460 2762384 13557608 14139254 0.049071 
8388027 3506378 5133695 6584343 0.029238 
12707556 5893790 3221210 7500834 0.031649 
15858699 13559842 4246574 13953596 0.053033 
15132002 5794272 7646143 10141206 0.050226 
13144500 3926681 144647 4011179 0.007035 
9908538 9749377 2986613 9768203 0.043828 
4522535 3268134 3001584 4008135 0.016647 
13502215 9876582 8094249 12140613 0.065246 
3755629 1981967 2162541 3381851 0.013030 
8298285 4250149 3722783 5523529 0.029416 
12576335 460457 8687725 8848677 0.024732 
3885238 3328477 2416949 3664444 0.014535 
12260289 5700050 10004983 11406015 0.063617 
7392292 905087 4641559 4915011 0.016755 
13053144 10310133 8005654 12078757 0.067972 
2961682 353526 2115379 2202643 0.008059 
