# maxrange N1 N2 finalcard time(s)
4289383 1922435 254641 2935316 0.900914 
14636915 11038098 14404715 13243821 3.857534 
19885386 19158840 19840455 19847351 4.553124 
9641421 3211736 691087 5428742 1.716434 
3368690 958429 102933 1678901 0.558977 
7513926 5159934 28596 7043033 1.796978 
4089172 3099040 2291835 3881293 1.074776 
1595368 1154855 768253 1519235 0.393265 
16465782 4800866 15270350 7692967 2.851268 
13665123 13414879 4088953 13659803 2.923761 
1513929 404292 29721 669582 0.227455 
15723058 1227023 9561049 2203524 0.971653 
19961393 13033584 9371828 17551012 5.062954 
16478042 10669373 5573173 13624933 4.227633 
19484421 5071661 4396733 8961558 3.277711 
16898537 10924424 13364032 15067971 4.188781 
9798315 614850 2760188 1190391 0.505539 
4803526 4476381 2425284 4786990 1.030467 
11759956 8364645 8447346 10648140 2.848002 
2999170 2178406 534631 2700786 0.763941 
11702305 1410635 6596759 2640999 1.085534 
7336327 426830 7323166 830750 0.359813 
5750846 5132311 2249727 5671951 1.285801 
13925857 13621707 798753 13923449 2.883833 
19819582 19142345 16940614 19796917 4.453252 
8233367 1246276 5183900 2350924 0.837239 
14344043 79471 14078701 158588 0.047897 
16426808 8789220 864258 12473522 3.629165 
9393584 3239035 2211515 5617354 1.738342 
12392754 12267427 9195522 12392376 2.728670 
4095060 2849036 1216368 3710945 1.089989 
3947739 2445034 2924602 3097723 1.046188 
9698586 4861608 6881753 7423646 2.091476 
16140795 11538310 6911264 14623505 4.002349 
15960378 13850285 8741997 15700467 3.795234 
16710097 8557567 10475654 11760626 3.340706 
3570492 2654428 3290228 3340990 0.933578 
19997301 5625056 2778266 9515421 3.555853 
13209441 6104175 9397142 9094071 2.733658 
4228444 2262379 1679352 3349323 0.966807 
10744729 229860 10654038 454236 0.183690 
14738097 3524579 10762878 6248903 2.224342 
2890675 14734 2544652 29444 0.006510 
11704567 7186042 2790828 10013652 2.786828 
4872353 806935 3379299 1494494 0.591929 
9455306 2009603 2559897 3561879 1.313040 
12805732 5950145 7043275 8846950 2.905910 
15530019 4956180 4831449 8222598 2.934427 
9959708 5867451 8746344 7967533 2.391292 
