# maxrange N1 N2 finalcard time(s)
4289383 1922435 254641 3155510 0.045218 
14636915 11038098 14404715 13577083 0.199189 
19885386 19158840 19840455 19818878 0.264713 
9641421 3211736 691087 5290935 0.070317 
3368690 958429 102933 1641757 0.019382 
7513926 5159934 28596 6661406 0.084203 
4089172 3099040 2291835 3869046 0.044874 
1595368 1154855 768253 1467681 0.016938 
16465782 4800866 15270350 8189048 0.112302 
13665123 13414879 4088953 13660750 0.141845 
1513929 404292 29721 721448 0.007283 
15723058 1227023 9561049 2334120 0.023707 
19961393 13033584 9371828 17161503 0.301510 
16478042 10669373 5573173 14253896 0.216458 
19484421 5071661 4396733 8922658 0.128087 
16898537 10924424 13364032 15347405 0.218855 
9798315 614850 2760188 1163394 0.012002 
4803526 4476381 2425284 4794442 0.051228 
11759956 8364645 8447346 10809173 0.166332 
2999170 2178406 534631 2756061 0.037345 
11702305 1410635 6596759 2645043 0.024606 
7336327 426830 7323166 838056 0.006092 
5750846 5132311 2249727 5674176 0.057185 
13925857 13621707 798753 13921530 0.146638 
19819582 19142345 16940614 19795686 0.260274 
8233367 1246276 5183900 2165063 0.025526 
14344043 79471 14078701 158376 0.001171 
16426808 8789220 864258 12420183 0.208589 
9393584 3239035 2211515 5261480 0.074849 
12392754 12267427 9195522 12391711 0.137248 
4095060 2849036 1216368 3776368 0.043610 
3947739 2445034 2924602 3246412 0.037535 
9698586 4861608 6881753 7298596 0.099884 
16140795 11538310 6911264 15224283 0.226585 
15960378 13850285 8741997 15741258 0.206491 
16710097 8557567 10475654 13765253 0.165056 
3570492 2654428 3290228 3233063 0.036111 
19997301 5625056 2778266 9634016 0.151365 
13209441 6104175 9397142 9480223 0.179358 
4228444 2262379 1679352 3317094 0.040408 
10744729 229860 10654038 454488 0.003502 
14738097 3524579 10762878 5920328 0.069078 
2890675 14734 2544652 29147 0.000256 
11704567 7186042 2790828 10055621 0.174446 
4872353 806935 3379299 1388719 0.013688 
9455306 2009603 2559897 3648161 0.039745 
12805732 5950145 7043275 9313123 0.157818 
15530019 4956180 4831449 8879159 0.126172 
9959708 5867451 8746344 7728899 0.090620 
11518149 4939263 1746998 7779009 0.095382 
17142618 13718683 12981902 16454382 0.216527 
19493451 16220371 5832965 18768527 0.296504 
11192379 10894912 10806353 11191191 0.125258 
18888228 13100077 4363106 17693500 0.322809 
11165193 1476868 10205171 2662625 0.031144 
16087764 3289500 10535038 5785270 0.062483 
8936987 7201729 6321589 8644763 0.135802 
7346491 5037150 3648391 6836031 0.087637 
11151432 4400759 6507485 6936763 0.087473 
11899228 649003 11688531 1246897 0.012199 
19901474 14256727 16621690 18635168 0.328953 
10794395 8474999 6436507 10206431 0.149491 
5908235 3496213 5166998 4631555 0.070892 
5894428 3354459 808775 4845859 0.069399 
15335928 5671881 2296640 9348710 0.167562 
17322404 17177599 16244879 17320978 0.227495 
12114613 1768594 794829 3267238 0.034995 
2436840 957184 2076538 1524997 0.018646 
15235128 14676336 11106105 15223580 0.159797 
12067917 8148209 4663644 10558710 0.179267 
6043324 1435175 2133046 2290837 0.027006 
19512183 12006098 12930506 16373539 0.262662 
16689772 16674997 553852 16689761 0.155483 
12755590 1191115 911929 2170748 0.021376 
12502954 9671432 2429121 12037818 0.173039 
8338082 5233490 2686588 7146547 0.091156 
13110197 6939507 6588323 10207413 0.183208 
5228804 1125380 313427 2009621 0.021715 
10573622 912872 9307965 1766126 0.013624 
14887343 10686760 4964650 13536182 0.213850 
15354340 10983722 13825931 14233103 0.209754 
14613810 500415 10237471 985456 0.008807 
5425661 400477 460577 749730 0.007941 
6811305 2629170 3614321 4239111 0.062831 
10079444 832534 2077498 1603618 0.014603 
10503465 5625863 6293236 8681791 0.117664 
3408282 757748 454676 1361123 0.014427 
4167637 2266201 1259048 3137236 0.037397 
18962600 18028036 5864452 18932410 0.260148 
13911899 12405681 8021994 13713929 0.163610 
5947468 753399 152281 1403282 0.014652 
7487131 2532939 197799 4115369 0.045265 
16808933 5870708 744268 9527858 0.161466 
17370163 8977965 10559562 12857027 0.174543 
2548899 2500384 165261 2547760 0.025626 
12713773 10591341 9949178 12266688 0.159387 
5187190 1736085 4313286 3060992 0.029235 
17116466 9834950 12991652 13698334 0.201578 
18422090 9008234 701836 13893341 0.195038 
16855542 7856790 6924541 11945457 0.192450 
9517445 7655611 767404 9119308 0.143275 
17418418 2857061 11573940 5303926 0.054488 
5103348 2423716 4700559 3569966 0.043433 
9262009 6384824 2240922 8435540 0.129280 
15166342 10989989 10249850 14042897 0.229644 
15319301 15034489 1769041 15314034 0.152983 
10575321 6593551 755831 9369059 0.140466 
14044599 9332370 6896846 12698606 0.210801 
10955939 10271192 299944 10918304 0.133829 
16915667 16540351 8888214 16912948 0.225160 
6811127 4925861 6640727 6164723 0.075200 
15996658 4830760 11819302 8090044 0.127204 
11602422 9179051 3459122 10988183 0.164471 
19054081 6644633 5199274 10072144 0.149778 
17679292 9051976 15657232 13195224 0.196889 
